Количество,Вид изделия,Дата,Дата заказа AR,Заказ,Поставщик,Статус,Тип,Цвет,Швея
"Пуф круг  80-9 шт, 60- 9шт, 40 см-4 шт",Пуф круг,"June 20, 2025",,,,Отшито,Пошив,312-96 Сиреневая дымка бархат,Кристина
Салфетки 60шт,Салфетки,"June 20, 2025",,,,Отшито,Пошив,312-96 Сиреневая дымка бархат,Кристина
Вашингтон  70шт,Чехлы Вашингтон,"June 17, 2025",,,,Отшито,Пошив,312-94 Миндальное латте,Людмила
Вашингтон  47шт,Чехлы Вашингтон,"June 6, 2025","August 2, 2025",Есть заказ,,Отшито,Пошив,312-99 Рыжая лиса бархат,Людмила
Вашингтон  60шт,Чехлы Вашингтон,"May 29, 2025","June 1, 2025",Срочный заказ,,Отшито,Пошив,312-96 Сиреневая дымка бархат,Елена
пуф круг 80 см 3 шт и 60 см 3 шт,Пуф круг,"May 16, 2025","May 16, 2025",Срочный заказ,,Отшито,Пошив,Серебро Парча,Людмила
Пуф арка 2 шт мини  и  2шт макси,Пуф боу,"May 15, 2025","May 16, 2025",Срочный заказ,,Отшито,Пошив,999-023 Черный бархат,Елена
Пуф квадро 30 шт,Пуф квадро,"May 23, 2025","May 23, 2025",Срочный заказ,,Отшито,Пошив,Серебро Парча,Кристина
"Пуф арка 45шт мини ",Пуф боу,"June 12, 2025","June 13, 2025",Срочный заказ,,Отшито,Пошив,312-125 Гранатовый бархат,Елена
Тиффани 20-25 шт(закончить кусок),Чехлы Тиффани,"May 30, 2025",,,,Отшито,Пошив,999-98 Темная ночь бархат,Людмила
пуф круг 60 -10 шт и 80-10шт,Пуф круг,"June 14, 2025","June 15, 2025",Срочный заказ,,Отшито,Пошив,312-57 Фиалковый бархат,Кристина
Сидушка из поролона 41шт,Сидушка Кроссбэк,"August 29, 2025","August 30, 2025",Срочный заказ,,Отшито,Пошив,Лен овсяное молоко,Елена
Пуф арка 5 шт мини и 5шт макси (в заказ идут 2+2)(дошить кусок),Пуф боу,"June 6, 2025","June 8, 2025",Срочный заказ,,Отшито,Пошив,915-21 Малиновый бархат,Елена
"Скатерть круг 7шт  ",Скатерти круглые,"December 1, 2025",,Нет,,Отшито,Пошив,С3 Лен Натур холст (дом текст),Кристина
"Пуф круг  60 -10 шт, пуф 80 -10 шт",Пуф круг,"July 5, 2025",,Нет,,Отшито,Пошив,312-95 Кокосовый раф бархат,Кристина
Тиффани 20шт,Чехлы Тиффани,"June 13, 2025","June 21, 2025",Есть заказ,,Отшито,Пошив,312-55 Розовая сакура бархат,Людмила
Тиффани 80 шт,Чехлы Тиффани,"June 17, 2025",,,,Отшито,Пошив,312-57 Фиалковый бархат,Людмила
"Бокалы Роулинг оранж и красн ",,"June 16, 2025",,,,В доставке,,,
"Пуфы фуфы и квадро ",,"May 27, 2025",,,,В доставке,,,
Тарелки Барто,,"May 16, 2025",,,,В доставке,,,
Пуф арка 30шт мини  и 1 макс (сделано 10 мини),Пуф боу,"September 5, 2025","September 6, 2025",Есть заказ,,Отшито,Пошив,312-55 Розовая сакура бархат,Елена
Пуф круг 40 - 16шт,Пуф круг,"June 30, 2025",,Нет,,Отшито,Пошив,312-69 Шалфей бархат,Кристина
Пуф арка 5 мини и 5 макси,Пуф боу,"May 20, 2025","May 21, 2025",Неоплачен заказ,,Отшито,Пошив,999-98 Темная ночь бархат,Елена
Тиффани 20-25 шт,Чехлы Тиффани,"June 17, 2025",,,,Отшито,Пошив,312-73 Красный дракон бархат,Людмила
Пуф круг 60 см 6шт и 80- 5 шт,Пуф круг,"June 17, 2025","June 21, 2025",Неоплачен заказ,,Not started,Пошив,999-98 Темная ночь бархат,Людмила
скатерти круг 330 см 5 шт(в. заказ идут все),Скатерти круглые,"June 10, 2025","June 11, 2025",Срочный заказ,,Отшито,Пошив,312-95 Кокосовый раф бархат,Кристина
Скатерть прямого 410 на 300 -4 шт,Скатерти прямоугольные,"May 23, 2025","May 24, 2025",Срочный заказ,,Отшито,Пошив,312-81 Фиолетовый люпин бархат,Кристина
Пуф круг 60 см- 5 шт и 80 см - 5 шт,Пуф круг,"June 6, 2025",,Нет,,Отшито,Пошив,777-103 Аквамарин бархат,Людмила
Пуф квадро 25 шт (сделано 4 шт),Пуф квадро,"July 31, 2025",,Нет,,Отшито,Пошив,312-99 Рыжая лиса бархат,Людмила
" Столы Вольф 240 20шт",,"June 12, 2025","July 4, 2025",Есть заказ,Chiedo Cover,Куплено,Покупка мебели,,
"Роулинг зеленый ( 2 поставки, 30+30+12 и 30 комплектов)",,"June 8, 2025","June 20, 2025",Есть заказ,Елена Азия,В доставке,Покупка посуды,,
Роулинг красный (замена брака+ новые 40 комплектов каждого цвета),,"June 16, 2025",,Нет,Елена Азия,Изготовление,Покупка посуды,,
Пуф боу 6 макси,,"May 27, 2025","June 2, 2025",Есть заказ,Вайлдберрис,В доставке,Покупка мебели,,
" Подстолья для змеек 25 шт и волн 16шт",,"June 12, 2025",,,Chiedo Cover,Куплено,Покупка мебели,,
" Столешницы для змеек 25 шт и волн 16шт",,"June 5, 2025","June 21, 2025",Есть заказ,Древиз,В доставке,Покупка мебели,,
Пуф боу 15 мини,,"May 27, 2025","June 16, 2025",Есть заказ,Вайлдберрис,В доставке,Покупка мебели,,
"Пуф круг 40 см  - 50 шт, 60 см-12 шт, 80 см -18 шт",,"May 27, 2025","May 28, 2025",Есть заказ,Горизонт,Куплено,Покупка мебели,,
Пуф квадро 45 шт,,"May 22, 2025","May 23, 2025",Есть заказ,Горизонт,Изготовление,Покупка мебели,,
Креманки металл 24 шт,,"June 5, 2025",,Нет,Озон,В доставке,Покупка посуды,,
Роулинг оранж (замена брака+ новые 40 комплектов каждого цвета),,"June 16, 2025","June 14, 2025",Есть заказ,Елена Азия,Изготовление,Покупка посуды,,
Кроссбеки 15шт + 13шт с реставрации,,"May 23, 2025","May 24, 2025",Есть заказ,Chiedo Cover,Куплено,Покупка мебели,,
"Салфетки 20-30шт(сколько выйдет) из двух скатертей ",Салфетки,"June 30, 2025",,Нет,,Отшито,Пошив,Кремовый шелк,Кристина
"Вашингтон 80 шт ",Чехлы Вашингтон,"June 20, 2025","June 24, 2025",Срочный заказ,,Отшито,Пошив,312-55 Розовая сакура бархат,Елена
пуф квадро 49  шт (отшито 12 шт),Пуф квадро,"July 5, 2025","August 12, 2025",Есть заказ,,Отшито,Пошив,312-95 Кокосовый раф бархат,Кристина
пуф квадро 17шт,Пуф квадро,"June 26, 2025",,Нет,,Отшито,Пошив,312-111 Голубой сапфир бархат,Кристина
Пуф круг 60 см  -5шт,Пуф круг,"June 10, 2025","June 11, 2025",Срочный заказ,,Отшито,Пошив,999-100 Клубничный,Кристина
пуф квадро 12 шт,Пуф квадро,"June 1, 2025","June 2, 2025",Срочный заказ,,Отшито,Пошив,312-95 Кокосовый раф бархат,Кристина
Пуф арка 5 шт и 5 шт макси,Пуф боу,"May 30, 2025","June 2, 2025",Срочный заказ,,Отшито,Пошив,312-95 Кокосовый раф бархат,Елена
"Пуф квадро-25 шт, круг 80 -2шт (если останется ткань- дошивать спросить)","Пуф квадро, Пуф круг","July 10, 2025",,Нет,,Отшито,Пошив,312-89 Зеленый чай бархат,Кристина
Пуф квадро -25 шт,Пуф квадро,"July 4, 2025",,Нет,,Отшито,Пошив,312-125 Гранатовый бархат,Людмила
Пуф квадро -40 шт,Пуф квадро,"July 18, 2025",,Нет,,Отшито,Пошив,312-40 Светло зеленый бархат,Людмила
Пуф квадро -40 шт,Пуф квадро,"June 18, 2025","June 19, 2025",Срочный заказ,,Отшито,Пошив,999-023 Черный бархат,Кристина
"Пуф квадро -30 шт ",Пуф квадро,"June 23, 2025","June 24, 2025",Срочный заказ,,Отшито,Пошив,312-8 Жемчужный бархат,Кристина
пуф квадро -30 шт,Пуф квадро,"July 10, 2025",,Нет,,Отшито,Пошив,312-81 Фиолетовый люпин бархат,Кристина
Салфетки 81 шт (в идеале запас 2 шт),Салфетки,"June 5, 2025","June 6, 2025",Срочный заказ,,Отшито,Пошив,Пшеничный канвас,Кристина
Скатерть круг 340 см 4 шт (в заказ).,Скатерти круглые,"June 24, 2025","June 25, 2025",Срочный заказ,,Отшито,Пошив,Серебро Парча,Елена
Тиффани 60 шт,Чехлы Тиффани,"July 18, 2025",,Нет,,Отшито,Пошив,5018-33 Синий Ван Гога бархат,Людмила
Фуфы 60 см 4 шт,,"June 3, 2025",,Есть заказ,Горизонт,Изготовление,Покупка мебели,,
"Ремонт нереиды ",,"May 29, 2025",,,Дмитрий аквариумы,Изготовление,Покупка мебели,,
,,,,,,Not started,,,
Номерки жасмин,,"May 31, 2025",,,,В доставке,Покупка декора,,
"Салфетки 35шт ",Салфетки,"June 12, 2025","June 13, 2025",Срочный заказ,,Отшито,Пошив,999-101 Спелая дыня,Кристина
скатерть круг 8 шт,Скатерти круглые,"June 25, 2025","August 10, 2025",Есть заказ,,Не заказано,Пошив,Серебро Парча,Кристина
Скатерть круг 330 см 5 шт,Скатерти круглые,"June 5, 2025","June 6, 2025",Срочный заказ,,Отшито,Пошив,001- Габардин пломбир,Кристина
Пуф арка макс 10шт мини 10шт,Пуф боу,"June 26, 2025",,,,Отшито,Пошив,312-89 Зеленый чай бархат,Елена
ремонт пуф круг 40 см серебро и жемчуг,,,,,,Отшито,Пошив,,Людмила
ремонт пуф круг спелая дыня 30шт,,,,,,Отшито,Пошив,,Людмила
Пуф арка макс 3 шт,Пуф боу,"January 15, 2026",,Нет,,Шьется,Пошив,312-96 Сиреневая дымка бархат,Елена
Столы Вольф Круглые 180см 10шт,,"June 26, 2025","July 11, 2025",Есть заказ,Chiedo Cover,Изготовление,Покупка мебели,,
Квадро пуф  серебро 4 новых,Пуф квадро,"June 10, 2025","June 11, 2025",Срочный заказ,,Отшито,Пошив,Серебро Парча,Кристина
Салфетки 46шт,Салфетки,"June 10, 2025","June 11, 2025",Срочный заказ,,Отшито,Пошив,312-69 Шалфей бархат,Кристина
сидушки на стул Вашингтон 25 шт на новые толстые (без спинок) +1 полный комплект,Чехлы Вашингтон,"June 6, 2025",,Нет,,Отшито,Пошив,312-8 Жемчужный бархат,Людмила
Пуф круг 40 см- 25 шт,Пуф круг,"June 12, 2025","June 13, 2025",Срочный заказ,,Отшито,Пошив,312-111 Голубой сапфир бархат,Кристина
пуф  круг 80 см 7 шт (кусок ткани в пакете),Пуф круг,"June 6, 2025","June 8, 2025",Срочный заказ,,Отшито,Пошив,312-125 Гранатовый бархат,Людмила
пуф круг 40 см -30 шт,Пуф круг,"June 4, 2025","June 5, 2025",Срочный заказ,,Отшито,Пошив,312-40 Светло зеленый бархат,Кристина
Из остатков салфетки с уголком красивым,Салфетки,"January 15, 2026",,Нет,,Отшито,Пошив,С3 Лен Натур холст (дом текст),Кристина
скатерть круг 340 см 1 шт,Скатерти круглые,"June 10, 2025","June 11, 2025",Срочный заказ,,Отшито,Пошив,Серебро Парча,Елена
"пуф круг 80 см 6 шт,  60 см 3шт",Пуф круг,"June 3, 2025","June 4, 2025",Срочный заказ,,Отшито,Пошив,312-111 Голубой сапфир бархат,Кристина
Скатерть круг 330 см 9 шт(8 в заказ),Скатерти круглые,"June 7, 2025","June 8, 2025",Срочный заказ,,Отшито,Пошив,000-Габардин снежный,Елена
Скатерть круг 300см(!) 5 шт,Скатерти круглые,"June 11, 2025","June 12, 2025",Срочный заказ,,Отшито,Пошив,502-Габардин бежевый,Елена
Татьяна: ремонт пуф спелая дыня 65 шт и бледно-розовый 30шт,Пуф круг,"June 16, 2025",,Нет,,Отшито,Пошив,999-101 Спелая дыня,Людмила
Скатерти прямоуг 410 на 300 см 17 шт шт(помимо этого отшили 33),Скатерти прямоугольные,"September 19, 2025",,,,Отшито,Пошив,000-Габардин снежный,Кристина
Подстолья для змеек 15шт,,"July 4, 2025","July 11, 2025",Есть заказ,Chiedo Cover,Изготовление,Покупка мебели,,
Отшить скатерти Бета кокосовый раф круглые 2 шт,Скатерти круглые,"June 14, 2025","June 15, 2025",Есть заказ,,Отшито,Пошив,312-95 Кокосовый раф бархат,Кристина
"40 жемчужных чехлов на мини пуфики фуфики ",Пуф Круг 40см,"June 19, 2025","June 20, 2025",Есть заказ,,Отшито,Пошив,312-8 Жемчужный бархат,Кристина
Столешницы для змеек 15шт,,"July 4, 2025","July 11, 2025",Есть заказ,Древиз,Изготовление,Покупка мебели,,
60 салфеток шелк Айвори,Салфетки,"June 20, 2025","June 20, 2025",Срочный заказ,,Отшито,Пошив,А-28 Айвори шелк,Кристина
"Из остатков салфетки ",,"July 12, 2025",,,,Отшито,Пошив,Диор зеленая,Кристина
"Круг скатерти 330 см11 шт ",Скатерти круглые,"June 24, 2025","June 24, 2025",Срочный заказ,,Отшито,Пошив,Ванильный канвас,Кристина
"Прямоугоскатерти 410 на 300 25шт(можно пока к 3 июля сшить 10 шт, а потом к 11 июля еще 15)",Скатерти прямоугольные,"July 4, 2025","August 16, 2025",Есть заказ,,Отшито,Пошив,Ванильный канвас,Кристина
"Скатерть круг 330 см  10 шт ",Скатерти круглые,"October 1, 2025",,,,Отшито,Пошив,000-Габардин снежный,Кристина
Скатерть круг 330 см 15шт,Скатерти круглые,"July 5, 2025",,,,Отшито,Пошив,Ванильный канвас,Кристина
Салфетки из старых скатертей,,"July 12, 2025",,,,Отшито,Пошив,Ванильный канвас,Кристина
Из остатков салфетки,Салфетки,"July 12, 2025",,Нет,,Отшито,Пошив,001- Габардин пломбир,Кристина
Скатерть круг 340 см 4 шт,Скатерти круглые,"July 15, 2025","July 18, 2025",Срочный заказ,,Отшито,Пошив,Серебро Парча,Елена
Сидушка Тиффани. 40шт,Чехлы Тиффани,"January 15, 2026",,Нет,,Изготовление,Пошив,312-96 Сиреневая дымка бархат,Елена
Сидушки 46шт,Чехлы Вашингтон,"July 4, 2025",,,,Отшито,Пошив,312-8 Жемчужный бархат,Людмила
Пуфик круг 40 - 50 шт,Пуф круг,"July 3, 2025","July 4, 2025",Срочный заказ,,Отшито,Пошив,новый,Людмила
Пуфик квадро 50шт,Пуф квадро,"July 4, 2025","July 5, 2025",,,Отшито,Пошив,312-57 Фиалковый бархат,Людмила
"Скатерть прямоуг. 1 шт  ",Скатерти прямоугольные,"July 3, 2025",,,,Отшито,Пошив,312-96 Сиреневая дымка бархат,Кристина
"Скатерть прямоуг 1 шт,салфетки 45 шт ","Салфетки, Скатерти прямоугольные","July 10, 2025","July 11, 2025",Есть заказ,,Отшито,Пошив,999-98 Темная ночь бархат,Кристина
пуф квадро 25 шт,Пуф квадро,"July 18, 2025","July 19, 2025",Срочный заказ,,Отшито,Пошив,312-28 Шоколадный бархат,Людмила
Пуф квадро серебро -сколько выйдет из остатка,Пуф квадро,"July 18, 2025",,,,Отшито,Пошив,Серебро Парча,Людмила
пуф квадро - 30 шт,Пуф квадро,"July 25, 2025",,,,Отшито,Пошив,312-55 Розовая сакура бархат,Людмила
пуф квадро -10-20 шт скока останется от рулона,Пуф квадро,"July 18, 2025",,,,Отшито,Пошив,5018-33 Синий Ван Гога бархат,Людмила
пуф квадро -30шт,Пуф квадро,"July 25, 2025",,,,Отшито,Пошив,999-101 Спелая дыня,Людмила
,,,,,,Куплено,Пошив,,Кристина
Пуф круг 40 см. -20 шт,Пуф Круг 40см,"July 24, 2025",,Нет,,Отшито,Пошив,312-28 Шоколадный бархат,Людмила
пуф квадро -2шт,Пуф квадро,"July 10, 2025","July 11, 2025",Срочный заказ,,Отшито,Пошив,5018-33 Синий Ван Гога бархат,Людмила
Пуф арка макси 2 шт,Пуф Боу Макси,"July 10, 2025","July 11, 2025",Срочный заказ,,Отшито,Пошив,312-55 Розовая сакура бархат,Елена
Пуф арка макс 3шт,Пуф Боу Макси,"July 15, 2025","July 16, 2025",Срочный заказ,,Отшито,Пошив,312-55 Розовая сакура бархат,Елена
Скатерть прямоуг 410 см -6 шт,Скатерти прямоугольные,"July 10, 2025","July 11, 2025",Срочный заказ,,Отшито,Пошив,Мелисса шелк,Кристина
скатерть круг 7 шт (добить всю ткань),"Салфетки, Скатерти круглые","July 24, 2025",,Нет,,Отшито,Пошив,Мелисса шелк,Кристина
Пуф круг 40см  20шт,Пуф Круг 40см,"July 31, 2025",,Нет,,Отшито,Пошив,,Людмила
Скатерть прямоуг 410 на 300. 1-2шт,Скатерти прямоугольные,"January 15, 2026",,,,Изготовление,Пошив,Серебро Парча,Елена
Образец квадратного пуфа Шарпей оверсайз,,"October 1, 2025",,,,Отшито,Пошив,,Елена
Вашингтон 22 шт,Чехлы Вашингтон,"July 25, 2025","July 27, 2025",Срочный заказ,,Отшито,Пошив,312-40 Светло зеленый бархат,Людмила
скатерти круг 7 шт,Скатерти круглые,"July 24, 2025","July 25, 2025",Срочный заказ,,Отшито,Пошив,312-40 Светло зеленый бархат,Кристина
"Скатерть прямоугольной 410 на 300 7шт  ",Скатерти прямоугольные,"July 30, 2025",,,,Отшито,Пошив,312-8 Жемчужный бархат,Кристина
скатерть круг 330 см 12-13 шт,Скатерти круглые,"July 30, 2025",,,,Отшито,Пошив,312-8 Жемчужный бархат,Кристина
"скатерть круг 330 см 5 шт ",Скатерти круглые,"July 30, 2025","August 2, 2025",Срочный заказ,,Отшито,Пошив,312-95 Кокосовый раф бархат,Елена
"Пуф круг 40см  20-30 шт(сколько выйдет) и 60 см- 5 шт, 80 см -5 шт",Пуф Круг 40см,"July 31, 2025",,Нет,,Отшито,Пошив,999-46 Зеленый малахит,Людмила
Тиффани сидушки 70-80 шт(сколько выйдет) (из брак скатерти),Чехлы Тиффани,"July 31, 2025",,Нет,,Отшито,Пошив,312-8 Жемчужный бархат,Людмила
Пуф квадро 20 шт (сколько выйдет из отрезов),Пуф квадро,"July 31, 2025",,Нет,,Отшито,Пошив,Серебро Парча,Людмила
"пуф круг 60 см -5 шт и 80 см -5 шт ","Пуф Круг 60см, Пуф Круг 80см","July 31, 2025",,Нет,,Отшито,Пошив,312-28 Шоколадный бархат,Людмила
Вашингтон 10 шт(сколько выйдет из скатерти),Чехлы Вашингтон,"July 31, 2025",,Нет,,Отшито,Пошив,312-57 Фиалковый бархат,Людмила
"Тиффани сидушка 14 шт,",Чехлы Тиффани,"July 30, 2025","August 2, 2025",Срочный заказ,,Отшито,Пошив,312-95 Кокосовый раф бархат,Елена
"Скатерть круг 330 см - 14 шт(в заказ идет 12 шт, но добить весь рулон сразу)",Скатерти круглые,"July 25, 2025","July 28, 2025",Срочный заказ,,Отшито,Пошив,382 Зеленая пастель шелк,Кристина
Скатерть круг 14 шт(в заказ 9),Скатерти круглые,"July 30, 2025","August 16, 2025",Есть заказ,,Отшито,Пошив,А-27 Белая глазурь шелк,Кристина
Пуф круг 40 -32 шт,Пуф Круг 40см,"July 30, 2025","August 2, 2025",Срочный заказ,,Отшито,Пошив,312-95 Кокосовый раф бархат,Кристина
Квадро 7шт,Пуф квадро,"July 31, 2025",,Нет,,Отшито,Пошив,312-28 Шоколадный бархат,Людмила
Пуф арка мини 5 шт и макс 5 шт,Пуф боу,"January 15, 2026",,Нет,,Изготовление,Пошив,312-111 Голубой сапфир бархат,Елена
Салфетки 55 шт простые,Салфетки,"July 30, 2025",,Нет,,Отшито,Пошив,312-69 Шалфей бархат,Кристина
скатерть круг 330 см 10шт и скатерть прямоуг 300 на 410 см 2 шт,"Скатерти круглые, Скатерти прямоугольные","July 24, 2025","July 25, 2025",Срочный заказ,,Отшито,Пошив,312-69 Шалфей бархат,Кристина
пуф арка макс 5шт,Пуф боу,"January 15, 2026",,Нет,,Изготовление,Пошив,312-106 Бледно-розовый,Елена
пуф арка мини 8 шт и макси 4 шт,Пуф боу,"November 25, 2025","November 28, 2025",Есть заказ,,Отшито,Пошив,5018almas- Черный бархат,Елена
скатерть круг 330 см 10  шт (сколько выйдет),Скатерти круглые,"October 1, 2025",,Нет,,Отшито,Пошив,312-73 Красный дракон бархат,Кристина
"Пуф круг 80 см -4шт, 60 см. -4 шт","Пуф Круг 60см, Пуф Круг 80см","August 8, 2025",,Нет,,Отшито,Пошив,999-023 Черный бархат,Людмила
Пуф круг 40  - 20 шт (сколько выйдет из отреза),Пуф Круг 40см,"August 8, 2025",,Нет,,Отшито,Пошив,999-100 Клубничный,Людмила
"Пуф круг 40 см 54  шт(отшито 49, осталось 5 )",Пуф Круг 40см,"August 11, 2025",,,,Отшито,Пошив,312-95 Кокосовый раф бархат,Кристина
Пуф арка мини 13шт,Пуф боу,"August 8, 2025","August 10, 2025",Срочный заказ,,Отшито,Пошив,999-101 Спелая дыня,Елена
Салфетки 42шт красивый угол (сколько выйдет из остатков),Салфетки,"June 5, 2026","June 6, 2026",Есть заказ,,Отшито,Пошив,Мелисса шелк,Людмила
Пуф круг 60 см 6шт +1 индивидуальный с высотой на 2 см больше,Пуф Круг 60см,"August 8, 2025","August 9, 2025",Срочный заказ,,Отшито,Пошив,312-8 Жемчужный бархат,Кристина
технические чехлы на пирамиду Вашингтон 69 шт,Технический чехол,"August 30, 2025",,,,Отшито,Пошив,,Людмила
Скатерть круг 1 шт,Скатерти круглые,"August 8, 2025","August 10, 2025",Срочный заказ,,Отшито,Пошив,312-40 Светло зеленый бархат,Кристина
,,,,,,Куплено,Пошив,,Елена
"пуф квадро 9 шт ",Пуф квадро,"August 29, 2025","September 12, 2025",Есть заказ,,Отшито,Пошив,5018-33 Синий Ван Гога бархат,Людмила
